EMPLOYEE_NUMBER;HISTORIC_USERFIELD_NAME;ORGANISATION;ORGANISATION_START_OATE
457067;ORGANISATION;D2297;02-07-2017
456990;ORGANISATION;D2431;28-05-2017
793379;uORGANISATION;uD2245;u18-10-2021
793379;ORGANISATION;D2293;03-10-2021
793379;ORGANISATION;D2201;05-09-2021
793379;ORGANISATION;D2293;01-10-2017
793379;ORGANISATION;D2717;20-07-2017
937815;ORGANISATION;D2218;10-11-2022
937815;ORGANISATION;D2294;29-09-2022
493122;ORGANISATION;D2282;11-04-2023
972255;ORGANISATION;D2245;11-11-2021
973240;ORGANISATION;D2245;22-11-2021
452272;ORGANISATION;D2232;01-04-2019
452272;ORGANISATION;D2233;11-10-2016
452272;ORGANISATION;D2241;16-05-2016
947423;ORGANISATION;D2205;09-11-2022
458567;ORGANISATION;D2325;20-01-2021
458567;ORGANISATION;D2254;19-01-2018
452926;ORGANISATION;D2252;31-05-2016
456376;ORGANISATION;D2242;01-03-2019
456376;ORGANISATION;D2231;31-12-2016
456376;ORGANISATION;D2242;19-12-2016
944094;ORGANISATION;D2218;10-11-2022
944094;ORGANISATION;D2294;20-10-2022
447629;ORGANISATION;D2312;28-12-2015
443321;ORGANISATION;D2785;25-04-2021
443321;ORGANISATION;D2786;01-09-2020
443321;ORGANISATION;D2253;08-09-2015
479877;ORGANISATION;D2297;20-04-2022
931789;ORGANISATION;D2245;18-10-2021
931789;ORGANISATION;D2216;23-09-2020
931789;ORGANISATION;D2293;02-10-2019
